Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
7677,PC PORTALS MARIPOSA CLUBHOUSE,2500 WILSHIRE BLVD. #704,LOS ANGELES,(213) 639-2600,90010,4,2,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, WELLNESS CENTER",OUTPATIENT,ADULT,"ARMENIAN, CZECH, ENGLISH, FARSI, FRENCH, GERMAN, HEBREW, ITALIAN, MANDARIN, POLISH, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE, YORUBA",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7590,CALIFORNIA BEHAVIORAL HEALTH,1400 SOUTH GRAND # 600,LOS ANGELES,(213) 742-6250,90015,4,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON-FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7829,EISNER PEDIATRIC FAMILY MEDICAL CENTER,1500 SOUTH OLIVE ST.,LOS ANGELES,(213) 746-1037,90015,4,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, FRENCH, HEBREW, PORTUGUESE, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7685,SSG-CHINATOWN SERVICE CENTER,767 NORTH HILL ST. STE. 400,LOS ANGELES,(213) 808-1700,90012,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7796,EXODUS RECOVERY URGENT CARE CENTER-EASTSIDE,1920 MARENGO ST.,LOS ANGELES,(310) 276-6400,90033,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE",CRISIS SERVICES,ADULT,"CANTONESE, ENGLISH, FARSI, IBO, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG,   UKRANIAN,  VIETNAMESE,  YORUBA",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7805,STEP UP ON HOLLYWOOD,"6762 LEXINGTON AVE., SUITE A",LOS ANGELES,(310) 394-6889,90038,4,3,"MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7520,LINCOLN HEIGHTS FAMILY RECOVERY CENTER,4099 NORTH MISSION RD.,LOS ANGELES,(323) 221-1746,90032,4,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, MANDARIN, KOREAN, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7480,VIP COMMUNITY MENTAL HEALTH CENTER,1721 GRIFFIN AVE.,LOS ANGELES,(323) 221-4134,90031,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, CANTONESE, DUTCH, ENGLISH, FRENCH, GERMAN, ILOCANO,  ITALIAN, JAPANESE, KOREAN, MANDARIN, RUSSIAN,  SERBO-CROATIAN,  SPANISH,  TAGALOG",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7519,CA HISPANIC COMMISSION ALCOHOL & DRUG ABUSE,2309 N. DAILY ST.,LOS ANGELES,(323) 222-4591,90031,4,1,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH/LATINO",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7791,VIP CMHC INC-LAC/USC CHILD PSYCHIATRY,2010 ZONAL AVE.,LOS ANGELES,(323) 226-2247,90089,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7664,HILLSIDES OPTIMIST YHFS,6957 NORTH FIGUEROA ST.,LOS ANGELES,(323) 254-2274,90042,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7472,ENKI BOYLE HEIGHTS,560 SOUTH ST. LOUIS ST.,LOS ANGELES,(323) 261-4900,90033,4,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, FARSI, ITALIAN, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, TAIWANESE, TOISAN",NGA,MON - THURS 9:00 AM - 6:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7671,GATEWAYS OUTPATIENT PERCY VILLAGE,3455 PERCY ST.,LOS ANGELES,(323) 268-2100,90034,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, GERMAN, HEBREW, KOREAN, POLISH, PUNJABI, SPANISH, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7783,EXODUS RECOVERY INC.,1920 MARENGO ST. 1ST FL.,LOS ANGELES,(323) 276-6400,90033,4,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, FARSI, FRENCH, HUNGARIAN, IBO, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG, TURKISH, UKRANIAN, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7843,CHILDREN'S  HOSPITAL LOS ANGELES,5000 SUNSET BLVD. 7TH FL.,LOS ANGELES,(323) 361-2350,90027,4,3,"FULL SERVICE PARTNERSHIP (FSP), MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"AFRIKAANS, CANTONESE, CZECH, ENGLISH, FARSI, FRENCH, GREEK, HEBREW, HINDI, ITALIAN, KOREAN, MANDARIN, PORTUGUESE,  SPANISH, SWATOWESE,  SWEDISH,  TAIWANESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7732,SSG-CHLA,5000 SUNSET BLVD. 4TH FL.,LOS ANGELES,(323) 361-7703,90027,4,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, PORTUGUESE, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7344,OPTIMIST YOUTH HOMES,1635 SILVER OAK TERRACE,LOS ANGELES,(323) 443-3175,90041,4,3,"MENTAL HEALTH SERVICES* (MHS), TARGETED TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7749,HOLLYGROVE,815 NORTH EL CENTRO AVE.,LOS ANGELES,(323) 446-2119,90038,4,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, HEBREW, IIOCANO, KOREAN, POLISH, SPANISH, TAGALOG, URDU",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7521,BHS HOLLYWOOD RECOVERY CENTER,6838 SUNSET BLVD.,LOS ANGELES,(323) 461-3161,90028,4,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, FARSI, FRENCH, KOREAN, MANDARIN, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7255,ENKI - PICO UNION,2523 WEST 7TH ST.,LOS ANGELES,(323) 480-1557,90057,4,1,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/OLDER ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7444,OPTIMIST YOUTH & FAMILY SERVICES,7003 NORTH FIGUEROA ST.,LOS ANGELES,(323) 543-4222,90042,4,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, FARSI, JAPANESE, KOREAN, SPANISH",NGA,MON - FRI 9:00 AM - 5:30 PM,CONTACT PROVIDER
7470,GATEWAYS HOMELESS SERVICE,340 N. MADISON,LOS ANGELES,(323) 644-2026,90004,4,1,"CRISIS INTERVENTION, HOMELESS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT,"ARABIC, CREOLE, ENGLISH, GERMAN, KOREAN, POLISH, SPANISH, TAGALOG, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7203,THE SABAN FREE CLINIC,8405 BEVERLY BLVD.,LOS ANGELES,(323) 653-8622,90048,4,3,COMMUNITY OUTREACH,OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, FRENCH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7614,CHILDREN'S HOSPITAL COMMUNITY MENTAL HEALTH CENTER,3250 WILSHIRE BLVD.,LOS ANGELES,(323) 669-2350,90010,4,2,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,"AFRIKAANS, CANTONESE, CREOLE, CZECH, ENGLISH, FARSI, FRENCH, GREEK, HEBREW, HINDI, ITALIAN, KOREAN, MANDARIN,  PORTUGUESE,  SPANISH,  SWATOWESE,  SWEDISH,  TAIWANESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7586,CHILDREN'S  HOSPITAL-LA QUEENSCARE HEALTH FAITH,"1300 N VERMONT AVE., SUITE 809",LOS ANGELES,(323) 669-4355,90027,4,3,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON-FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7884,CA HISPANIC COMMISSION ALCOHOL & DRUG ABUSE - ROOSEVELT ISHC,456 S. MATHEWS ST.,LOS ANGELES,(323) 780-8756,90033,4,1,"CO-OCCURING DISORDERS, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH/LATINO",NGA,MON-FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7889,AVIVA FAMILY AND CHILDREN'S SERVICES,"1530 ORANGE DR., ROOM 101W",LOS ANGELES,(323) 876-0550,90028,4,3,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT/CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7221,AVIVA FAMILY AND CHILDREN'S SERVICES,1701 CAMINO PALMERO,LOS ANGELES,(323) 876-0550,90046,4,3,"DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT/CHILD/TAY,"AMERICAN SIGN, ARMENIAN, ENGLISH, GERMAN, RUSSIAN, SPANISH, TAGALOG, TURKISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7693,JEWISH FAMILY SERVICE OF LOS ANGELES (JFSLA),330 N. FAIRFAX AVE.,LOS ANGELES,(323) 937-5900,90036,4,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ARMENIAN, CANTONESE, EASTERN EUROPEAN/MIDDLE EASTERN, ENGLISH, FRENCH, RUSSIAN, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7503,STAR VIEW ADOLESCENT CENTER INC.,1625 WEST OLYMPIC BLVD. STE. 600,LOS ANGELES,(323) 999-2404,90015,4,1,"FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"AMERICAN SIGN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, JAPANESE, KOREAN, MANDARIN, MARATHI, OTHER CHINESE,  PORTUGUESE, SPANISH, TAGALOG, URDU, VISAYAN",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7278,HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,840 NORTH AVE. STE. 66,LOS ANGELES,(818) 896-2255,90042,4,1,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, GERMAN, HINDI, ILOCANO, KOREAN, MANDARIN, PUNJABI, SERBO-CROATIAN, SPANISH,  URDU,  VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7906,SCHOOL THREAT ASSESSMENT RESPONSE TEAM (START) PROGRAM,"600 S. COMMONWEALTH AVE., 15TH FL.",LOS ANGELES,(213) 639-6400,90005,4,2,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,FIELD RESPONSE ONLY
7700,PACIFIC CLINICS - KYCC,680 S. WILTON PLACE,LOS ANGELES,(213) 365-7400,90005,4,2,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7776,VISTA DEL MAR,"3345 WILSHIRE BLVD., SUITE 609",LOS ANGELES,(310) 836-1223,90010,4,2,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7696,PACIFIC CLINICS - KYCC,3727 WEST SIXTH ST.  #411,LOS ANGELES,(877) 722-2737,90020,4,2,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7844,TELECARE LOS ANGELES - AB 109,1005 S. CENTRAL AVE.,LOS ANGELES,(213) 482-6400,90021,4,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7828,THE SABAN FREE CLINIC,6043 HOLLYWOOD BLVD,LOS ANGELES,(323) 653-8622,90028,4,3,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7875,ALMA FAMILY SERVICES,"456 MATHEWS ST., BLDG T",LOS ANGELES,(323) 881-3799,90033,4,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7893,ALMA FAMILY SERVICES,"1200 N. STATE ST., SUITE 1016",LOS ANGELES,(323) 881-3799,90033,4,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7865,VETERANS AND LOVED ONES RECOVERY (VALOR),"1816 S. FIGUEROA ST., 6TH FL.",LOS ANGELES,(213) 763-0300,90015,4,2,"MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, VETERAN SERVICES",OUTPATIENT,TAY/ADULT,"ENGLISH, SPANISH, VETERANS",DMH,MON - FRI 8:00 AM - 5:00 PM,"ENGLISH, SPANISH"
0059,MEADOWBROOK MANOR,3951 EAST BLVD.,LOS ANGELES,(310) 391-8266,90066,5,2,INSTITUTION OF MENTAL DISEASE (IMD),24 HOUR/RESIDENTIAL,ADULT,ENGLISH,NGA,24 HOURS,BY REFERRAL ONLY
1906,EDMUND D EDELMAN MENTAL HEALTH CENTER-ADULT,11080 WEST OLYMPIC BLVD. 4TH FL.,LOS ANGELES,(310) 966-6500,90064,5,3,"COMMUNITY OUTREACH, FULL SERVICE PARTNERSHIP (FSP), FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/OLDER ADULT,"ARABIC, ARMENIAN, EASTERN EUROPEAN/MIDDLE EASTERN, ENGLISH, FARSI, FRENCH, KOREAN, RUSSIAN, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
1973,DIDI HIRSCH-SEPULVEDA,4760 SOUTH SEPULVEDA BLVD.,CULVER CITY,(310) 390-6612,90203,5,2,"AB109, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP),MEDICATION SUPPORT, MENTAL HEALTH SERVICES*(MHS), PEER SUPPORT & ADVOCACY,PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, WELLNESS CENTER",OUTPATIENT,ADULT/OLDER ADULT/TAY,"ENGLISH, FARSI, SPANISH",NGA,MON - THURS 8:30 AM - 8:00 PM; FRI 8:30 AM - 5:00 PM,MON-THU 8:30 AM - 8:00 PM; F - 8:30 AM - 5:00 PM
5035,UCLA NEUROPSYCHIATRIC INSTITUTE (NPI) & HOSPITAL,750 WESTWOOD PLAZA,LOS ANGELES,(310) 794-7172,90024,5,3,24 HR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT/CHILD/TAY,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
5046,SOUTHERN CALIFORNIA HOSPITAL OF CULVER CITY,3828 DELMAS  TERRACE,CULVER CITY,(310) 836-7001,90232,5,3,24 HR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT/CHILD/TAY,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
6773,ST. JOHN'S CHILD & FAMILY DEVELOPMENT CENTER,1339 20TH ST.,SANTA MONICA,(310) 829-8921,90404,5,3,"COMMUNITY OUTREACH, DAY REHABILITATION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, FRENCH, HEBREW, RUSSIAN, SPANISH",NGA,MON - THURS 8:00 AM - 8:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7062,WESTSIDE CENTER FOR INDEPENDENT LIVING (WCIL) INC.,12901 VENICE BLVD.,LOS ANGELES,(310) 390-3611,90066,5,2,COMMUNITY OUTREACH,COMMUNITY OUTREACH,ADULT/OLDER ADULT,"ENGLISH, GERMAN, SPANISH",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7099,STEP UP ON SECOND STREET-ADULT FCCS-TAY FSP,1328 SECOND ST.,SANTA MONICA,(310) 394-6889,90401,5,3,"CLIENT RUN CENTER, COMMUNITY OUTREACH, FULL SERVICE PARTNERSHIP (FSP), HOMELESS MENTAL HEALTH SUPPORTS, MEDICATION SUPPORT AND MENTAL HEALTH SERVICES* (MHS),  MEDICATION SUPPORT",OUTPATIENT,ADULT/TAY,"DUTCH, ENGLISH, RUSSIAN, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7110,DIDI HIRSCH JUMP STREET,1233 SOUTH LA CIENEGA BLVD.,LOS ANGELES,(310) 855-0031,90035,5,3,"24 HR ACUTE INPATIENT, RESIDENTIAL",24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",NGA,24 HOURS,BY REFERRAL ONLY
7114,ST. JOSEPH'S CENTER-VENICE/HAMPTON,204 HAMPTON DR.,VENICE,(310) 396-6468,90291,5,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7169,ST. JOHN'S CHILD & FAMILY DEVELOPMENT CENTER,1339 20TH ST.,SANTA MONICA,(310) 829-8921,90404,5,3,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING FOR DEAF AND HARD OF HEARING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"AMERICAN SIGN , ENGLISH, FRENCH",NGA,MON - THURS 8:00 AM - 8:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7178,"OCEAN PARK-OPCC-DAY BREAK SHELTER, SAFE HAVEN",1751 CLOVERFIELD BLVD.,SANTA MONICA,(310) 450-0650,90404,5,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SOCIALIZATION, SUPPORTIVE HOUSING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, MANDARIN, FARSI, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7191,EDMUND D EDELMAN MENTAL HEALTH CENTER-CHILD,11080 WEST OLYMPIC BLVD. 1ST FL.,LOS ANGELES,(310) 966-6610,90064,5,3,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7196,VISTA DEL MAR CHILD & FAMILY SERVICE,3200 MOTOR AVE.,LOS ANGELES,(310) 836-1223,90064,5,2,"FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, RESIDENTIAL TREATMENT PROGRAM, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7229,ALCOTT CENTER FOR MENTAL HEALTH SERVICES,1433 SOUTH ROBERTSON BLVD.,LOS ANGELES,(310) 785-2121,90035,5,2,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MENTAL HEALTH SERVICES* (MHS), MEDICATION SUPPORT, PREVENTION & EARLY INTERVENTION (PEI), SOCIALIZATION, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, FARSI, RUSSIAN",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7245,HOMES FOR LIFE FOUNDATION,8939 SEPULVEDA BLVD. STE. 460,LOS ANGELES,(310) 337-7417,90045,5,2,"FIELD CAPABLE CLINICAL SERVICES (FCCS), MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7272,PACIFIC ASIAN COUNSELING SERVICES,8616 LA TIJERA BLVD. STE. 200,LOS ANGELES,(310) 337-1550,90045,5,2,"COMMUNITY OUTREACH, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE",OUTPATIENT,ADULT/CHILD/TAY,"ASIAN/PACIFIC ISLANDER, CAMBODIAN, CANTONESE, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH",NGA,MON - FRI 9:00 AM - 6:00 PM,CONTACT PROVIDER
7334,DIDI HIRSCH-MAR VISTA,12420 VENICE BLVD. STE. 200,LOS ANGELES,(310) 751-1200,90066,5,2,"CALWORKS, CRISIS INTERVENTION, PREVENTION & EARLY INTERVENTION (PEI), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - THURS 8:30AM - 8:00 PM; FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7357,DIDI HIRSCH-CULVER PALMS,11133 WASHINGTON BLVD.,CULVER CITY,(310) 895-2300,90232,5,2,"MENTAL HEALTH SERVICES* (MHS), SUBSTANCE ABUSE RESOURCE CENTER, SURVIVORS AFTER SUICIDE, SURVIVORS OF SUICIDE",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
